1,2
neutral,"c/ 한 고3 때부터 뭐라 u/ 이렇게 친구들한테 말을 하기 시작했거든.
"
neutral,"너는 요즘 뭐 힘드 힘들 때 어떻게 해?
"
neutral,"나도 그냥 내 자기 관리를 하는 편이지. n/
"
neutral,"자기가 뭐 어떤 식으로?
"
neutral,"그냥 옷을 찾아본다던가 노래를 듣는다거나 나는 클래식 음악을 들어.
"
happy,"뭐 작 작곡가 누구 좋아? l/
"
neutral,"그건 모르겠어, 아무거나 들어.
"
neutral,"근데 요즘 사이가 좀 다 서로 경쟁을 베이스로 하는 사회잖아.
"
sad,"그렇다 보니까 이렇게 사람들이 힘들게 사는데 b/ 좀 u/ 한편으로 보면 좀 안타까운 거 같아.
"
neutral,"b/ 삭막해지고 막 정도 없이 그냥 막 차가워지긴 한 거 같어, 같더라고.
"
neutral,"그래도 난 요즘 그래도 좀 요즘 대학교 와서 좋은 친구들 많이 만난 거 같아가지고 어떻게 보면 많이 힘이 되기도 하고 어떻게 보면 더 힘들기도 하고 근데 좋은 친구들 만났다는 거는 뭐 좋은 거니까 그 친구들이 나한테 많이 힘이 되줄려고도 하는 게 보이고 그냥 고맙더라고.
"
neutral,"내가 우울한 거를 떨쳐 내는데 도움을 주는 거니까, 계속.
"
neutral,"너는 뭐 혼자 있고 싶을 때 있지 않아?
"
neutral,"그치 사람은 다 있지, 그럴 때가.
"
neutral,"뭐 보통 어떨 때 그래?
"
neutral,"나는 b/ 좀 사람들한테 치이다가 좀 지칠 때 혼자 있고 싶지.
"
neutral,"혼자 있으면 b/ 그냥 가만히 그냥 있어? 아니면 뭐 어떤 행동을 해?
"
neutral,"가만 있어, 나는.
"
neutral,"그냥 가만 있어?
"
neutral,"근데 너는 뭐 사람들과 같이 있고 싶다 이럴 때 있어?
"
neutral,"같이 있고 싶다 b/ 내가 뭐 혼 혼자 있을 때 b/ 그냥 계속 울다 울다가 뭔가 계속 집에만 가만히 있을 때가 있었거든.
"
sad,"c/ n/ 그냥 우울해 가지고 아무도 안 만나고.
"
neutral,"b/ 근데 갑자기 계속 울고 막 그냥 가만히 있고 하니까 그렇게 그렇게 그냥 혼자 가만있는 것도 지 지치더라고.
"
neutral,"너는 에 요즘 AI 개발 이렇게 엄청 활발하잖아.
"
neutral,"그런 거 개발하는 거에 대해서 어떻게 생각해?
"
neutral,"나는 일단 AI가 좋은 게 b/ 일단 인간이 할 수 없는 일에 대해서 AI가 대체 할 수 있는 사회가 됐으니까 난 괜찮다고 봐.
"
neutral,"응, 막 생활도 편해지고 하니까?
"
neutral,"근데 막 해킹 문제가 있을 수도 있는 거잖아.
"
neutral,"바이러스가 걸려 가지고 막 남이 조종할 수도 있는 거고 그런 거에 대해서는 어떻게 생각해?
"
neutral,"그런 거에 대해서는 일단 화이트 해커가 있으니까 방지할 수 있지.
"
neutral,"그리고 요즘은 워낙 보안 프로그램도 좋게 준비되어 있는 사회니까 좀 더 AI에 대해서 좀 b/ 발전시켜도 될 거 같다 생각해.
"
neutral,"b/ 막 방금 영상 본 거 보면 막 AI랑 같이 살기도 하잖아.
"
fear,"AI랑 같이 사는데 막 감정이 생기면 좀 무서워 질 거 같지 않아?
"
fear,"b/ 나는 로봇이 로봇 목소리로 감정을 가지게 되면 무서울 거 같긴 해.
"
neutral,"n/ 막 그냥 아무렇지도 않게 솔직히 AI는 모든 정보를 다 알고 있다고 보면 되잖아.
"
neutral,"그 인간의 감정을 만약에 감정이 생기면 인간의 감정을 알 거니까 그걸 이용해서 막 엄청 무서운 일들이 일어날 수도 있는 거고 AI가 살인을 할 수도 있는 거고 하니까 난 그 부분에 대해서는 좀 신중하게 천천히 생각을 해봐야 될 거 같다는 생각이 입장이거든.
"
neutral,"너는 뭐 그냥 그대로야?
"
neutral,"나는 어쨌든 이게 AI 장단점이 다 있으니까.
"
neutral,"근데 나는 로봇 강아지 있잖아.
"
neutral,"로봇 강아지한테도 감정이 있었으면 좋겠구나.
"
neutral,"그래서 오히려 좀 몸이 불편하거나 n/ 어린 유아 층에서는 로봇 강아지한테 감정을 실어주면 좋을 거 같단 생각이 들긴 해.
"
neutral,"너 뭐 A, 요즘 AI 개발하는 거에 대한 뭐에 대해서 알고 있는 정보나 그런 거 있어?
"
neutral,"b/ 일단 요즘은 품질은 낮되 대량 생산을 하는 편이잖아.
"
neutral,"거기에는 이미 많은 사람들이 일자리를 잃었고 n/ 저 기계가 다 대체하고 있는데 요즘은 뭐 어쩔 수 없는 거 같아.
"
neutral,"많이 팔려는 게 다 목적이기 때문에 더 많이 더 빨리 만들어야겠다 이런 u/ 마인드를 가지신 분들이 많아서 오히려 기계를 많이 이끌어 나가려고 하시지.
"
neutral,"요즘 아직까지는 뭐 AI가 그냥 핸드폰에는 이제 거의 다 들어가 있고 뭐 가끔 가다가 뭐 TV나 에어컨 막 이런 데에 막 들어가 있는데 앞으로 더 막 개발이 더 잘 되고 하면 막 로봇이 나올 수도 있는 거잖아.
"
fear,"난 그거에 좀 b/ AI 로봇이 나온다고 하면 좀 무서울 거 같거든.
"
neutral,"일단 감정이 뭐 솔직히 솔직히 생길 거 같진 않지만 감정이 없는 그냥 로봇이니까 막 사람 혀 형태를 한 막 감정 없는 로봇이 있다고 생각을 해봐, 좀 무섭지 않아?
"
fear,"나는 n/ 무섭기도 하고 안 무섭기도 한데 근데 왠지 인간형 로봇이 감정을 가지고 있으면 좀 안 좋은 상황을 초래할 거 같긴 해.
"
neutral,"솔직히 AI가 막 감정 가지고 막 악감정을 생겨 갖고 막 그러면 이제 AI는 막 다 해킹 할 수 있을 거 아니야.
"
neutral,"그럼 막 솔직히 막 지금 도시나 그런 게 다 마비되지 않을까.
"
fear,"군부대나 막 그런 데서도 AI를 쓸 텐데 그러면 b/ 더 위험해 지지 않을까.
"
fear,"c/ 막 영화에서나 나오는 막 막 막 멸 n/ 막 멸망하거나 막 그런 게 실제로도 되지 않을까 하는 생각이 들어서.
"
neutral,"근데 군부대에서 AI 사용은 좋지.
"
happy,"언니 l/ 언니 이거 컬투쇼 이거 어떻게 봤어요?
"
neutral,"나는 AI가 제일 웃겼어 그 시리 때문에.
"
happy,"어 그 평소에 컬투쇼 많이 봤어요?
"
neutral,"b/ 음 아니야 컬투쇼는 그냥 어 뭐지 짤로만?
"
neutral,"c/ 유튜브 클립으로만 봤는데.
"
neutral,"역시 재밌었어요.
"
neutral,"이 이게 되게 재미있는 영상이잖아요.
"
neutral,"c/ 근데 저도 자주 보진 않았는데 이게 되게 웃긴 거 같애요.
"
neutral,"기계랑 특히 얘기하는 게 뭔가 일상생활에서 사람들이 자주 있잖아요.
"
happy,"뭐 빅스비라던지. l/
"
happy,"그런 게 참 재밌는 거 같애요.
"
neutral,"나 왜 일할 때, 아이폰, 나 아이폰 썼으니까.
"
happy,"뭐지 시리가, 시리가 왜 발음이 비슷하면은 그냥 켜져가지고 네 부르셨습니까 이런 얘기 하고.
"
happy,"어 맞아요, 그럴 때마다 진짜 재밌는 거 같아요.
"
happy,"응 얘가 왜 켜져? l/
"
happy,"우연치 않게 되게 재밌다고 해야 되나?
"
neutral,"응 갑자기 켜져.
"
neutral,"진지한 상황에서도 키면은 이제 놀라워.
"
neutral,"c/ 켜지면은.
"
happy,"그리고 첫 번째 이야기가 AI 말고 그 겨드랑이 털. l/
"
neutral,"b/ 이게 이거는 어, 어땠어요?
"
neutral,"어 나는 솔직히 음 그것도 재밌긴 했었어.
"
neutral,"c/ 근데 나는 그 뒤에 거가 조금 더 세서.
"
neutral,"응 n/ 근데 그것도 재밌었어.
"
happy,"어떻게 보면 되게 민망한 건데 또 가족이니까 똠 절 다른 사람보다는 아무래도 편하니까? l/.
"
happy,"l/ 그거 엄마가 하는 반응이 제일 웃겼어. 
"
neutral,"어 전 그 즈즈 음.
"
happy,"l/ 딸이랑 아버지랑 둘이 있다가 이 뒤에서 어머니가 초벌 작업을 한다고 l/ 나두 l/ 맞아 맞아.
"
happy,"b/ 그 말이 너무 재밌는 거 같애요.
"
happy,"c/ 가위로 미리 해놓고 하라는 말이 진짜 생각지도 못한 말이어가지고.
"
happy,"약간 본인 경험담 아니었을까? b/
"
neutral,"그니까요.
"
neutral,"c/ 진짜 본 그게 더 웃긴 거 같.
"
neutral,"그리고 아버지 반응도 되게 아무렇지 않게.
"
happy,"저 저는 저도 가족끼리 엄마가 아빠 면도기를 그렇게 써가지고 b/ 막 좀 찝찝하다고 아빠가 말하는데 너무 웃긴 거예요. l/
"
neutral,"b/ 어머니 왜? 
"
happy,"그냥 왜 내가 썼는데 왜. l/
"
neutral,"l/ 근데 요즘 진짜 AI를 많이 쓰는 거 같애요.
"
neutral,"되게 종류가 많은 거 같애.
"
neutral,"c/ 저는 아직 안 쓰고 있는데.
"
neutral,"우리 집도 안 써.
"
neutral,"우리 집도 안 쓰고 근데 친구네 AI 쓰는데 어 뭐였지 빅스비.
"
neutral,"빅스, 아 지니인가 빅스비인가. 
"
happy,"c/ 어 그거 하, 아 맞아 기가 지니.
"
neutral,"기가지니?
"
neutral,"기가 지니 하는데 발음 제대로 불러서 해줘야 된다고 되게 은근 불편하더라.
"
neutral,"아 아 그러고 있을 거 같애요.
"
neutral,"응 근데 재밌어.
"
happy,"원하지 않는 거 자꾸 틀어줘. l/
"
happy,"l/ 랜덤으로 지니가 막 맨날 틀어줘.
"
neutral,"c/ 틀어줬었어.
"
neutral,"아 근데 불편한 것도 불편한 건데 뭔가 재밌는 일이 더 많을 거 같애요.
"
neutral,"응 확실, 확실히 편하기는 하지.
"
neutral,"c/ 제가 생각했을 땐.
"
neutral,"c/ 편하고 재밌고 다 같이 있었을 때 상황이 더 재밌었을 거 같애. 
"
neutral,"다 같이 있는 상황에서.
"
neutral,"어어 컬투쇼 진짜 그 누구지? 
"
neutral,"c/ 정, 이름이 뭐지? 
"
neutral,"정찬우, 정찬우랑 김태균.
"
happy,"근데 이번엔 권혁수랑 같이하는데 진짜 이붓, 그 웃, 계속 지금 말한 사람 김태균이죠?
"
happy,"어 너무 소리를 너무 웃기게 잘 내는 거. l/
"
happy,"b/ 소리 너무 찰, 진짜 목소리 개 존나 찰지게 나. l/
"
happy,"l/ 근데 그 l/ 자막까지 막 l/ 계속 l/ 진짜 자막 웃기게 다는 것도 중요한 거 같애.
"
neutral,"그거 그 프로그램에서 편집한 거겠지?
"
neutral,"그쪽 채널에서? 
"
neutral,"어 편집도 요즘 되게 재밌게. 
"
neutral,"c/ 편집 잘했, 어 재미 잘해놨더라. 
"
neutral,"MC도 중요한데 편집도 진짜 너무 재밌는 거 같애.
"
neutral,"컬투쇼 가끔씩 한 번씩 들으면 들리면은 진짜 재밌는 것들 너무 많아가지고.
"
happy,"가끔 친구들이랑 얘기할 때도 웃긴 거 서로 막 얘기하고 컬투쇼에서 봤던 거.
"
neutral,"오키 오키 오키.
"
neutral,"그러면은 진짜 웃음이 엄청 빵 터지는 거 같애.
"
neutral,"응 b/ 근데 아무 생각 없이 듣고 다니면은 빵 터지는데 버스 같은 데서 이거 컬투쇼 틀어놓는 경우가 있거든?
"
neutral,"어 그러면은 타고 가다가 들리잖아? 
"
happy,"너무 재밌어요.
"
neutral,"c/ 진짜 웃고 싶을 때 꼭 필요한 영상이라 할까?
"
happy,"이제 어 제모가 l/ 전 근데 제모가 더 웃겼거든요? l/
"
happy,"b/ 전 너무 공감, 공감? l/
"
neutral,"c/ 진짜 제모 너무 귀찮아가지고.
"
neutral,"b/ 나 그래서 잘 안 해 난 사실. l/
"
neutral,"응 저도요.
"
neutral,"u/ 안녕하세요였지, 그거.
"
neutral,"맞아요 안녕하세요.
"
neutral,"안녕하세요였지 폐지됐었나?
"
neutral,"저 TV를 잘 안 봐가지고 유튜브로만 많이 봐가지고.
"
neutral,"예전에 한창 막 할 땐 좀 잘 봤었는데, 어 그리고 나서는 안 봤던 거 같아.
"
neutral,"이게 아무래도 고민을 얘기하는 거다보니까 고민이 재밌는 고민?
"
neutral,"c/ 아니면 이게 고민인가 싶나라는 그런 고민 같지 않은 고민도 있고, 지금 우리가 본 거는 좀 진지한 고민인 거 같애요.
"
neutral,"어어어 조금 심각, 좀 심각한.
"
neutral,"c/ 가족이 나와서 얘기를 한 거죠.
"
neutral,"c/ 부모님이 대화를 3년째 안 하, 3년째 안 한.
"
neutral,"3년째 안 했다고. 
"
neutral,"근데 그게 아빠가 이제 너무 가부장적인, 뭐라 해야 되지?
"
neutral,"u/ 가부장적으로?
"
neutral,"약간 되게 무섭게 했을 거 같애, 어.
"
sad,"맞아요 근데 처음부터 이제 어머니가 좀 너무 울 거 같은 표정으로 b/ 심각하게 얘기하셔서 뭔가 저도 축 처지고 뭔가 진지하게 몰입하게 되는 상황 자체가 좀 진지해지는 슬픈 거 같애.
"
neutral,"근데 진짜 그러는 상황에서 어떻게 계속 싸, 버텼을지가.
"
neutral,"진짜 힘든 거 같애.
"
neutral,"맨날 u/ 그 남편이 운동도 한다고 그랬잖아.
"
neutral,"c/ 운동을 하는데, 언제 화낼지 몰라 너무 진짜 살얼음판 u/ 걸리는 사람과 같은 건데.
"
fear,"진짜 맨날 긴장하고, 불안하고.
"
neutral,"집이 어떻게 보면 편하게 있어야 하는 공간인데 가장 편하게 있어야 하는 공간인데 b/ 좀 뭐 인정했잖아요 아버지가 자기가 좀 그래, 그랬다고.
"
neutral,"맞아 맞아 다혈, 다혈질이라고.
"
neutral,"근데 알면서도 이제 안 고쳐지니까.
"
neutral,"이게 되게 고민인 거 같애.
"
happy,"c/ 근데 b/ 아버지가 일단 잘못을 l/ 하지 않았나.
"
neutral,"l/ 당연하지, 무조건 이건 난 잘못했다고 보는데.
"
neutral,"근데 우리 이제 다른 애들한테서도 이게 일반적으로 그런 상황?
"
neutral,"아부, 아부지든 집안의 큰 어른이라고 하는 사람들이 이제 독선적이거나 약간 엄하게 무서운 존재로 있는 쪽은 좀 많은 거 같애서.
"
neutral,"저도 좀 사회에 분위기가 좀 대체적으로 그런 거 같애요.
"
neutral,"c/ 물론 다 그런 건 아니지만.
"
neutral,"근데 전반적으로 아빠 말이 다 옳고, 어른들 위주로.
"
neutral,"c/ 성인이 됐는데도.
"
neutral,"그게 아직 못 벗어난 거 같애서 어떻게 보면 좀 안타깝기도 하고 또 저도 저희 집도 아, 아버지가 엄한 편이어 가지고 또 제가 외동딸이고 이래가지고 공감 갔던 게 사실 많았어요.
"
neutral,"좀 무섭고 막 언제 화낼지 모르고 약간 이런 게 왜냐면 저는 좀 실수를 본의 아니게 많이 하거든요.
"
neutral,"c/ 덜렁대는 스타일이다 보니까.
"
neutral,"근데 아빠 입장에서는 또 걱정돼서?
"
neutral,"그런 거 같애요.
"
neutral,"c/ 그니까 외동딸인데 얘가 남들보다 뒤처지면 어떡하지.
"
neutral,"u/ 그래서 이제 무섭게 자기도 모르게 하는 건데.
"
neutral,"근데 듣는 당사자한테는 그게 엄청난 스트레스지.
"
neutral,"c/ 그리고 또 아버지들도 그렇게 행동을 하면 되게 이제 죄책감이 들 거라고 생각을 해요.
"
neutral,"그래서 아빠도 되게 미안해하고 저한테 막 풀려고도 막 했었는데 이게 또 감정이라는 게 u/ 갑자기 상대가 풀려고 해도 내가 풀고 싶어도 풀어지는 게 아니잖아요.
"
neutral,"그치 쌓이고 쌓이니까.
"
sad,"b/ 그래서 그런 내 경험 생각이 나면서 좀 l/ 축 처졌던 거 같애.
"
neutral,"좋지 않은 기억들 어으 뭐 b/ 이게 막 생각나고 그러니까.
"
neutral,"나는 제일 최근에 이제 내가 타투를 진짜 너무 하고 싶은데, 이제 들키면은 l/ 절대 못하니까 이제 집에서는 그런 거는 그 소위 좀 노는 애들이라고 해야 되나?
"
neutral,"요즘에는 애들, 어 그치 요즘에는 타투 정말 아무렇지도 않게 하는데, 이제 어른들 눈에는 이거는 좀 노는 애들이나 불성실한 애들이 한다 그러니까 타투의 타자도 못 꺼내겠거든.
"
neutral,"편견이 있죠.
"
neutral,"저도 이 이, 얘기 한번 꺼냈다 진짜 호적에서 파일 뻔. l/
"
neutral,"l/ 진짜 할 거면은 진짜 평생 안 들킬 각오하거나 u/ 등짝 스매싱 맞을 각오하고 해야 돼.
"
neutral,"c/ 진짜 타투 하고 싶어요.
"
happy,"c/ 근데 그걸 긍정적으로 생각하는 부모님이 얼마나 될까. l/
"
neutral,"l/ 저 주변에 애들도 하시는, 한 내 주위에 타투 한 애들이 조금 많은데 다 거의 한 7, 80퍼센트는 몰래 했다고 하더라.
"
surprise,"b/ 아 몰래 하는구나, 다들.
"
neutral,"응, 이거 강연이었죠?
"
neutral,"응, 세 세바시.
"
neutral,"c/ 세상을 바꾸는 15분.
"
neutral,"아아 세상을 바꾸는 시간이었구나.
"
neutral,"그거 좀 유명하지?
"
surprise,"아 유명해요? 
"
happy,"나 몇 번 어, 아 진짜? l/ 
"
neutral,"몇 번 약간 그 어디지?
"
neutral,"c/ 교육방, 교육하러 막 이렇게 세미나 같은 거 보여주거나 막 단체로 불려가는 일들 있으면은 가끔 세바시 틀어주고 그랬어.
"
neutral,"아 처음에 자기 위로라고 해서 이제 뭔가 했는데 약간 되게 긍정적인 잘했, 응 고른 느낌인 거 같더라.
"
neutral,"응 약간 잘 살고 있다?
"
neutral,"뭔가 누구나 진짜 안 공감하는 사람이 없을 거 같애요.
"
neutral,"c/ 이 내용은.
"
neutral,"특히 그거.
"
neutral,"c/ 강사가 그 강사, 강사인가 교수?
"
neutral,"응 교수, 서울 여대, u/.
"
neutral,"으응 응, 강사님 그 교수님이 얘, 말도 잘 이렇게 재밌게 잘하던데 그 말을 제일 공감했던 거 같애.
"
happy,"c/ 그 애매하게 착한 사람들이 더 스트레스 받는다고.
"
happy,"c/ 저도 되게 어 솔직히 말하면 행복한 날보다 안 행복한 날이 더 뭔가 많았던 거 같은데 요즘 비도 오고 그래서 그런가?
"
neutral,"c/ 근데 이 그 말이 되게 공감이 간 거 같애요.
"
neutral,"c/ 어설프게 착한 u/ 그렇다고 내가 막 내 입으로 난 착, 어쨌든 이렇게 어설프게 착하다는 것도 착하다는 거잖아요.
"
neutral,"c/ 그래서 난 착해 이러기도 그렇긴 한데 b/ 생각해보면은 그런 점이 많지 않았나.
"
neutral,"c/ 그까 착하다는 게 아니라 뭐라 해야 되지?
"
neutral,"약간 손해 보고 샀나?
"
happy,"너 어 너무 막 착하게만 행동하지도 않지만 또 어쩔 때는 나도 모르게 착하게 하고 있고 바보같이 하고 있고 스트레스 받고.
"
neutral,"l/ 응 b/ 이게 그거에 비해서 괜찮다고 약간 말해주는 느낌?
"
neutral,"b/ 그리고 그러지 말자.
"
neutral,"어 안 그래도 괜찮다.
"
neutral," 이런 느낌이었어.
"
happy,"u/ 좀 어떻게 보면 좀 고민이어서 좀 어 무거운 얘기일 수 있겠지만 그거를 또 응원해 주는 그거를 끄집어서 뭔가 좀 다독여주는 약간 그런 느낌이어서 저는 되게 좋았던 거 같애요.
"
neutral,"u/ 공연이 u/ 강연이 되게 u/ 현실적으로 딱 공감 가는 내용이 이걸 다 고민을 하고 있었을 내용들이니까.
"
neutral,"u/ 잘 맞았었어.
"
neutral,"c/ 그 사람들 이제 교수 얼굴도 비춰주는데 사람 얼굴도 비춰주잖아요.
"
neutral,"근데 사람들도 되게 공감하고 있는?
"
neutral,"그리고 대상들도 그 며느리 얘기할 때는 약간 나이대 있는 여자분 비추고 그 아 회사 얘기할 때는 양복 입은 사람들 비춰줬거든.
"
neutral,"c/ 근데 그 사람들 얼굴 보니까 되게 공감이 많이 가는 얼굴인 거 같았어.
"
neutral,"딱 약간 내 얘기 같다 하시는, 하는 얼굴들 있잖아.
"
happy,"근데 저는 처음에 보자마자 그냥 교수님 표정이 뭔가 억울 억울한 표정이어서 너무 웃겼어요. b/
"
happy,"l/ 그거 처음에 뭐지?
"
happy,"결혼은 했어요 하면은 그냥 어머님이 저랑 결혼하실 거예요? l/
"
happy,"b/ 그것도 그렇고 강연 내 어떻게 안겹치냐. l/
"
happy,"뭔가 억울한 표정으로 담담하게 말하는 게 l/ 전 그런게 진짜 웃기더라고요.
"
happy,"c/ 제 웃음 포인트랄까. l/
"
happy,"l/ 정말 찐이었어 그거는.
"
neutral,"그거 재밌어, 그것도 웃겼어 진짜.
"
neutral,"강연 내용은 좀 진지했는데 그 교수의 u/ 태도가 되게 재밌게 풀어나가가지고. 
"
neutral,"내용에 비해서 안 무겁게.
"
neutral,"응 이게 솔직히 u/ 뭐 고민 얘기를 아무한테나 꺼낼 순 없는데 이 교수하고도 그렇고 청중도 그렇고 다 서로 처음 보고 모르는 사이인데도 이렇게 고민에 대해서 얘기하고 의사소통할 수 있는 이 자리가 너무 전 좋은 거 같은 거예요.
"
neutral,"c/ 그래서 아 나도 저기 강연 듣고 싶다 직접 듣고 싶다라고 생각을 했어요.
"
neutral,"b/ 강연 저거 재밌다하는 그 교수, 이 사람 n/ 교수 거는 안봤는데 다른 사람들 거 봤어.
"
happy,"으응 언니 다 뭐 보신 거 같네요. l/
"
neutral,"c/ 나만 다 안봤나. l/
"
neutral,"근데 이런 강연 보면 진짜 좋은 뼈 때리는 명언들 되게 살면서 되게 뼈가 되고 살이 되는 말이 돼가지고 일상생활에서도 좀 기억하고 돌이켜보면 나한테 좋은 영향을 주는 거 같애요.
"
neutral,"그래서 동영상 이름이 자기 위론가봐.
"
neutral,"응 그니까.
"
happy,"l/ 이건 어땠어?
"
happy,"c/ 이게 유툽, 유튜브 영상인가 유튜브에 올린 u/ 음 저 처음에 약간 좀 정신 없었어요.
"
happy,"c/ l/ 정신 사납다고 해야 되나.
"
neutral,"어 근데 꼰대라는 주제가 진짜 누구든지 요즘 다 얘기하는. l/
"
neutral,"약간 나이 어린 사람들이랑도 얘기할 수 있고 이게 어떠냐?
"
neutral,"c/ 나이 많은 사람들이랑도 얘기할 수 있고 이런 건데.
"
neutral,"어 근데 언니도 지금 언니가 어떻게 보면은 더 사회생활을 완전 하고 있는 거잖아요.
"
happy,"저는 아직 학생이긴 하지만.
"
neutral,"그래 뭔가 근데 어때요?
"
happy,"c/ 언니는 꼰대가 언니 주변에 많다고 생각하세요?
"
neutral,"b/ 나는 솔직, 나는 이거 보면서 되게 공감이 많이 갔어.
"
happy,"l/ 아 진짜 내가 지금 일을 하고 있잖아.
"
neutral,"c/ 그니까 나랑 같이 일을 하는 선배, 상사 그 사람들이 맨날 하는 말이었어.
"
neutral,"진짜 맨날 그 나 때는.
"
neutral,"l/ 진짜 나 때는 이 실제로 하는 말, 사람들이 많더라.
"
neutral,"근데 그 요즘 젊은 꼰대라고 하잖아 젊고.
"
neutral,"응 그런 사람들을 많이 봤어.
"
neutral,"c/ 막 계속 이제 그런 사람이더라고.
"
neutral,"별로 나이랑 차이가 별로 안 나는데 이제 라떼는을 하거나 아니면은 내가 이제 따박따박 나는 듣고 내가 뭔가 맞나 u/ 받아들이지 못하겠다 싶으면은 내가 이해가 안 된다 싶으면은 b/ 물어본단 말이야.
"
neutral,"c/ 왜 그걸 해야 되냐고. 
"
disqust,"그러면은 그거를 되게 싫어하더라.
"
neutral,"그니까 반항하지 말라는 건가?
"
neutral,"저걸 그냥 알았다 고분고분 따라라.
"
neutral,"말대꾸하지 말라.
"
neutral,"근데 그게 말대꾸를 언니가 하고 싶어서 하는 게 아니고 언니도 언니 생각을 어떻게 보면 얘기하고 물어보는 건데 되게 어떻게 보면 그냥 오해를 받을 때도 있는 거 같고 되게 많은 거 같애요.
"
neutral,"c/ 대학 생활에서도 그렇고.
"
neutral,"꼰대가 저는 솔직히 많다고 생각해요.
"
neutral,"그래서 좀 사회생활하기가 힘든 거 같애요. 
"
neutral,"l/ 선배, 그 학교 선배들 중에서도 꼰대 좀 있는, 은근 있지 않아?
"
neutral,"저는 많았어요.
"
neutral,"네, 저는 과에서도 많았고 그냥 뭐 별거 아니더라도 내 행동을 자꾸 견제하려고 하고 좀 억압하려고 하고 이런 사람들이 많았어요. 
"
neutral,"c/ 근데 저도 좀 솔직하게 말하는 스타일이어서 더 눈엣가시가 됐던 거 같애요.
"
happy,"좀 면전에 대고 저도 왜요 이게 뭐가 문제지? l/
"
happy,"l/ 맞아 그러면서 진짜 싫어하잖아.
"
neutral,"그래서 맞아요.
"
neutral,"c/ 꼰대 생각하니까 b/ 좀 어떠 어떠한 상황들이 생각나서 화가 나고 갑자기 기분이 l/ 안 좋아지는.
"
angry,"아오 뭐 진짜.
"
neutral,"u/ 살다가 겪으면은 진짜 대표적인, 대대적인 꼰대 딱 생각나는 한두 명은 꼭 있는 거 같애.
"
neutral,"너는 어땠는데?
"
neutral,"저는 뭐 교수님도 꼰대라고 생각하고 l/ 아빠도 꼰대라고 생각해갖고 아빠가 되게 많이 했어요.
"
neutral,"c/ 난 너 나이 때도 나는 나는 뭐 너 같은 학생 때가 없었겠어 이러면서 하는데.
"
disqust,"아 진짜 그 말 너무 싫어.
"
angry,"어우 너무 숨이 막히는 거예요, 진짜 어 막.
"
neutral,"아 막 그러네 제일 가까운 데 있었네, 부모님들.
"
angry,"네, 저 스트레스를 많이 받았어요.
"
neutral,"약간 응 나는 이제 나도 먼저 살아봤으니까 하는 말이다.
"
neutral,"아아 좀 듣기 좀 꺼려져. l/
"
neutral,"b/ 일단은 시대가 다르지 않나. l/
"
neutral,"근데 뭔가 저도 꼰대가 되는 거 같애요.
"
happy,"c/ 저도 이제 4학년이잖아요.
"
happy," 근데 뭔가 후배들이 뭔가 너무 버릇없어 보이고 그래서 아까 저도 손가락 접어봤는데 저 3개 접었어요. l/
"
surprise,"b/ 어 아 진짜로?
"
neutral,"나는 나 한 개?
"
neutral,"하난가 두 개. 
"
neutral,"c/ 근데 나도 약간 꼰대끼가 있긴 해, 있는 거 같긴 해.
"
neutral,"아 u/ 언니는 언니는 언니가 예의를 잘 차리고 사회생활도 잘 하니까.
"
neutral,"u/ 그렇다 해서 그 직접적으로 터치는 안 하겠는데, 저런 어 저렇게 하면 좀 힘들겠다 l/ 싶은 것들, 어.
"
neutral,"그런 것들이 있지. 
"
happy,"c/ 어 이런 이런 말을 하는 것조차도 꼰대 아닐까. l/
"
neutral,"c/ 근데 그렇게 따지면 너무 꼰대라는 틀에서 벗어날 수가 없어서 뭔가 또 b/ 또 참 내가 당해보기도 하고 내가 꼰대가 되기도 하는 거 같고.
"
neutral,"근데 사람이 사람을 바꿀 순 없다고 생각하거든요.
"
neutral,"그리고 나보다 위인 그런 흔히 말하는 꼰대나, 그런 사람들 보면은 이제 저렇게는 하지 말아야지.
"
neutral,"c/ 이게 있는 거 같아 어.
"
happy,"어 저 오늘 본 영상 중에 이게 너무 제일 웃겼던 거 같애요.
"
happy,"b/ 이게 제일 웃겼어.
"
neutral,"b/ 무한도전 레전드들만 모아놨던 거 같애.
"
neutral,"c/ 시민 레전드? b/
"
happy,"이거 사실 봤었는데 또 봐도 웃겨요.
"
happy,"l/ 아 또 나 이거 몇 번 봤어, 몇 번씩 봤던 것들.
"
happy,"너무 웃겨요, 진짜 빵빵 터져.
"
neutral,"무한도전이 제일 재밌어.
"
happy,"그 슈퍼, 아이고 맞지 과일가게 아저씨 그 최근에 다시 한번 봤었거든. l/ 
"
neutral,"유튜브를 막 보다가 b/ 그 떠가지고 최근에 봤는데 다시 봐도 재밌어요.
"
happy,"과일 그니까 자기가 과일을 파는데 과일을 별로 안 좋아하시는 거잖아요. l/
"
happy,"근데 또 그거를 또 아무렇지도 않게 무덤덤하게 말하는 것도 너무 웃기고 과일 먹으라는데 자꾸 안 먹는 것도 웃기고. l/
"
happy,"l/ 왜 협박하냐고.
"
happy,"저 진짜 과일 너무 웃겼어 진짜.
"
neutral,"어 그 보영아 사랑, 사랑해 보영아도.
"
happy,"b/ 맞아요, 말 근데 바꾼 그렇게 바꿔서 말하는 것도 막 유행이었잖아요.
"
